tau_below,n_patients,acc_mrna_only,acc_fusion_ceiling,acc_fusion_floor
0.9,150,0.8533333333333334,0.9466666666666667,0.8466666666666667
0.8,96,0.7916666666666666,0.9375,0.78125
0.6,58,0.6896551724137931,0.9310344827586207,0.6724137931034483
0.4,41,0.7073170731707317,0.9512195121951219,0.6829268292682927
0.2,24,0.6666666666666666,0.9583333333333334,0.625
