tau,meth_cost_ratio,pct_resolved_stage1,avg_cost_per_patient,overall_accuracy_ceiling,overall_accuracy_floor
0.0,1.2,1.0,1.0,,
0.0,1.45,1.0,1.0,,
0.0,1.8,1.0,1.0,,
0.02,1.2,0.9985652797704447,1.0017216642754663,0.9655667144906743,0.9655667144906743
0.02,1.45,0.9985652797704447,1.0020803443328552,0.9655667144906743,0.9655667144906743
0.02,1.8,0.9985652797704447,1.0025824964131995,0.9655667144906743,0.9655667144906743
0.04,1.2,0.994261119081779,1.006886657101865,0.9684361549497847,0.9641319942611191
0.04,1.45,0.994261119081779,1.0083213773314204,0.9684361549497847,0.9641319942611191
0.04,1.8,0.994261119081779,1.0103299856527976,0.9684361549497847,0.9641319942611191
0.06,1.2,0.9913916786226685,1.0103299856527979,0.9684361549497847,0.9641319942611191
0.06,1.45,0.9913916786226685,1.0124820659971305,0.9684361549497847,0.9641319942611191
0.06,1.8,0.9913916786226685,1.0154949784791967,0.9684361549497847,0.9641319942611191
0.08,1.2,0.9827833572453372,1.0206599713055955,0.96987087517934,0.9641319942611191
0.08,1.45,0.9827833572453372,1.024964131994261,0.96987087517934,0.9641319942611191
0.08,1.8,0.9827833572453372,1.0309899569583931,0.96987087517934,0.9641319942611191
0.1,1.2,0.9799139167862266,1.024103299856528,0.9713055954088953,0.9641319942611191
0.1,1.45,0.9799139167862266,1.0291248206599715,0.9713055954088953,0.9641319942611191
0.1,1.8,0.9799139167862266,1.036154949784792,0.9713055954088953,0.9641319942611191
0.12,1.2,0.9784791965566715,1.0258249641319943,0.9727403156384505,0.9641319942611191
0.12,1.45,0.9784791965566715,1.0312051649928264,0.9727403156384505,0.9641319942611191
0.12,1.8,0.9784791965566715,1.0387374461979912,0.9727403156384505,0.9641319942611191
0.14,1.2,0.9727403156384505,1.0327116212338594,0.975609756097561,0.9641319942611191
0.14,1.45,0.9727403156384505,1.0395265423242468,0.975609756097561,0.9641319942611191
0.14,1.8,0.9727403156384505,1.049067431850789,0.975609756097561,0.9641319942611191
0.16,1.2,0.96987087517934,1.036154949784792,0.975609756097561,0.9641319942611191
0.16,1.45,0.96987087517934,1.043687230989957,0.975609756097561,0.9641319942611191
0.16,1.8,0.96987087517934,1.054232424677188,0.975609756097561,0.9641319942611191
0.18,1.2,0.9655667144906743,1.0413199426111908,0.975609756097561,0.9641319942611191
0.18,1.45,0.9655667144906743,1.0499282639885221,0.975609756097561,0.9641319942611191
0.18,1.8,0.9655667144906743,1.0619799139167863,0.975609756097561,0.9641319942611191
0.2,1.2,0.9655667144906743,1.0413199426111908,0.975609756097561,0.9641319942611191
0.2,1.45,0.9655667144906743,1.0499282639885221,0.975609756097561,0.9641319942611191
0.2,1.8,0.9655667144906743,1.0619799139167863,0.975609756097561,0.9641319942611191
0.22,1.2,0.9655667144906743,1.0413199426111908,0.975609756097561,0.9641319942611191
0.22,1.45,0.9655667144906743,1.0499282639885221,0.975609756097561,0.9641319942611191
0.22,1.8,0.9655667144906743,1.0619799139167863,0.975609756097561,0.9641319942611191
0.24,1.2,0.9626972740315638,1.0447632711621235,0.9770444763271162,0.9641319942611191
0.24,1.45,0.9626972740315638,1.0540889526542325,0.9770444763271162,0.9641319942611191
0.24,1.8,0.9626972740315638,1.067144906743185,0.9770444763271162,0.9641319942611191
0.26,1.2,0.9598278335724534,1.0482065997130559,0.9770444763271162,0.9641319942611191
0.26,1.45,0.9598278335724534,1.0582496413199427,0.9770444763271162,0.9641319942611191
0.26,1.8,0.9598278335724534,1.072309899569584,0.9770444763271162,0.9641319942611191
0.28,1.2,0.9583931133428981,1.0499282639885223,0.9784791965566715,0.9641319942611191
0.28,1.45,0.9583931133428981,1.0603299856527977,0.9784791965566715,0.9641319942611191
0.28,1.8,0.9583931133428981,1.0748923959827834,0.9784791965566715,0.9641319942611191
0.3,1.2,0.9555236728837877,1.0533715925394547,0.9799139167862266,0.9641319942611191
0.3,1.45,0.9555236728837877,1.0644906743185079,0.9799139167862266,0.9641319942611191
0.3,1.8,0.9555236728837877,1.0800573888091822,0.9799139167862266,0.9641319942611191
0.32,1.2,0.9540889526542324,1.0550932568149212,0.9799139167862266,0.9641319942611191
0.32,1.45,0.9540889526542324,1.066571018651363,0.9799139167862266,0.9641319942611191
0.32,1.8,0.9540889526542324,1.0826398852223815,0.9799139167862266,0.9641319942611191
0.34,1.2,0.9469153515064562,1.0637015781922525,0.9799139167862266,0.9641319942611191
0.34,1.45,0.9469153515064562,1.0769727403156384,0.9799139167862266,0.9641319942611191
0.34,1.8,0.9469153515064562,1.095552367288379,0.9799139167862266,0.9641319942611191
0.36,1.2,0.945480631276901,1.0654232424677188,0.9799139167862266,0.9641319942611191
0.36,1.45,0.945480631276901,1.0790530846484936,0.9799139167862266,0.9641319942611191
0.36,1.8,0.945480631276901,1.0981348637015782,0.9799139167862266,0.9641319942611191
