tau,pct_resolved,accuracy_if_resolved
0.0,1.0,0.9655667144906743
0.02,0.9985652797704447,0.9655172413793104
0.04,0.994261119081779,0.9682539682539683
0.06,0.9913916786226685,0.9696092619392185
0.08,0.9827833572453372,0.9708029197080292
0.1,0.9799139167862266,0.972181551976574
0.12,0.9784791965566715,0.9736070381231672
0.14,0.9727403156384505,0.976401179941003
0.16,0.96987087517934,0.9763313609467456
0.18,0.9655667144906743,0.9762258543833581
0.2,0.9655667144906743,0.9762258543833581
0.22,0.9655667144906743,0.9762258543833581
0.24,0.9626972740315638,0.977645305514158
0.26,0.9598278335724534,0.9790732436472347
0.28,0.9583931133428981,0.9805389221556886
0.3,0.9555236728837877,0.9819819819819819
0.32,0.9540889526542324,0.9819548872180451
0.34,0.9469153515064562,0.9818181818181818
0.36,0.945480631276901,0.9817905918057663
0.38,0.9426111908177905,0.9817351598173516
0.4,0.9411764705882353,0.9817073170731707
0.42,0.9411764705882353,0.9817073170731707
0.44,0.93974175035868,0.981679389312977
0.46,0.9368723098995696,0.9846860643185299
0.48,0.9368723098995696,0.9846860643185299
0.5,0.9354375896700143,0.9861963190184049
0.52,0.9282639885222381,0.9876352395672334
0.54,0.9253945480631277,0.9875968992248062
0.56,0.9239598278335724,0.9891304347826086
0.58,0.9196556671449068,0.9906396255850234
0.6,0.9167862266857962,0.9906103286384976
0.62,0.9124820659971306,0.9905660377358491
0.64,0.9124820659971306,0.9905660377358491
0.66,0.9067431850789096,0.990506329113924
0.68,0.9024390243902439,0.9920508744038156
0.7,0.8938307030129125,0.9919743178170144
0.72,0.8895265423242468,0.9935483870967742
0.74,0.8837876614060258,0.9935064935064936
0.76,0.8766140602582496,0.9934533551554828
0.78,0.8694404591104734,0.9933993399339934
0.8,0.8622668579626973,0.9933444259567388
0.82,0.8536585365853658,0.9932773109243698
0.84,0.8436154949784792,0.9931972789115646
0.86,0.8249641319942611,0.9930434782608696
0.88,0.8106169296987088,0.9964601769911504
0.9,0.7847919655667145,0.9963436928702011
0.92,0.7589670014347202,0.996219281663516
0.94,0.7144906743185079,0.9959839357429718
0.96,0.6556671449067432,0.9978118161925602
0.98,0.5581061692969871,0.9974293059125964
1.0,0.0,
