seed,acc_whole,acc_low_conf
0,0.9741750358680057,0.7931034482758621
1,0.9799139167862266,0.8620689655172413
2,0.9784791965566715,0.8448275862068966
3,0.9799139167862266,0.8448275862068966
4,0.9741750358680057,0.7931034482758621
5,0.9770444763271162,0.8275862068965517
6,0.9741750358680057,0.7931034482758621
7,0.9784791965566715,0.8448275862068966
8,0.9770444763271162,0.8275862068965517
9,0.9799139167862266,0.8620689655172413
10,0.9870875179340028,0.9310344827586207
11,0.9842180774748924,0.9137931034482759
12,0.9827833572453372,0.8793103448275862
13,0.9799139167862266,0.8620689655172413
14,0.9770444763271162,0.8275862068965517
15,0.9727403156384505,0.7758620689655172
16,0.9770444763271162,0.8275862068965517
17,0.9799139167862266,0.8620689655172413
18,0.9842180774748924,0.9137931034482759
19,0.9827833572453372,0.896551724137931
20,0.975609756097561,0.8103448275862069
21,0.9799139167862266,0.8620689655172413
22,0.9684361549497847,0.7241379310344828
23,0.9870875179340028,0.9482758620689655
24,0.9827833572453372,0.896551724137931
25,0.9770444763271162,0.8275862068965517
26,0.9813486370157819,0.8793103448275862
27,0.9784791965566715,0.8448275862068966
28,0.9784791965566715,0.8448275862068966
29,0.9813486370157819,0.8793103448275862
